distpoll,winner
1-A,Liberal
1-1,Green
1-2,Green
1-3,Green
1-4,Green
1-5,Green
1-6,Liberal
1-7,PC
1-8,Green
1-9,PC
2-A,Green
2-1,Green
2-2,Green
2-3,Green
2-4,Green
2-5,Green
2-6,Green
2-7,PC
2-8,Liberal
2-9,PC
3-A,Liberal
3-1,Green
3-2,Green
3-3,Green
3-4,Green
3-5,PC
3-6,Green
3-7,Liberal
3-8,Green
4-A,Liberal
4-1,Green
4-2,Green
4-3,Green
4-4,Green
4-5,Green
4-6,Green
4-7,Green
4-8,Green
4-9,Liberal
5-A,Liberal
5-1,Liberal
5-2,PC
5-3,Liberal
5-4,Liberal
5-5,PC
5-6,Liberal
5-7,PC
6-A,Liberal
6-1,Green
6-2,Green
6-3,PC
6-4,Liberal
6-5,Green
6-6,Green
6-7,Liberal
6-8,Green
7-A,Liberal
7-1,Green
7-2,Liberal
7-3,Green
7-4,Green
7-5,Green
7-6,Green
7-7,Liberal
7-8,Green
7-9,Green
7-10,Green
8-A,PC
8-1,Liberal
8-2,Green
8-3,Green
8-4,Green
8-5,Liberal
8-6,Liberal
8-7,PC
8-8,PC
8-9,PC
10-A,Green
10-1,Green
10-2,Green
10-3,Green
10-4,Green
10-5,PC
10-6,PC
10-7,Liberal
10-8,Green
10-9,Liberal
11-A,PC
11-1,PC
11-2,Liberal
11-3,PC
11-4,PC
11-5,PC
11-6,PC
11-7,PC
11-8,PC
11-9,PC
12-A,Green
12-1,Liberal
12-2,Liberal
12-3,Liberal
12-4,Liberal
12-5,Liberal
12-6,Liberal
12-7,Liberal
12-8,Liberal
12-9,Liberal
13-A,Green
13-1,Liberal
13-2,Liberal
13-3,Liberal
13-4,Liberal
13-5,Liberal
13-6,Liberal
13-7,Liberal
13-8,Liberal
13-9,Green
14-A,PC
14-1,Liberal
14-2,PC
14-3,PC
14-4,Liberal
14-5,Green
14-6,Liberal
14-7,Liberal
14-8,PC
14-9,Liberal
15-A,Liberal
15-1,Liberal
15-2,Green
15-3,PC
15-4,Green
15-5,Green
15-6,PC
15-7,Green
15-8,Green
15-9,Green
16-A,Green
16-1,Green
16-2,Liberal
16-3,Green
16-4,Green
16-5,Green
16-6,Liberal
16-7,Green
16-8,Green
16-9,Green
17-A,PC
17-1,PC
17-2,PC
17-3,PC
17-4,PC
17-5,PC
17-6,PC
17-7,PC
17-8,PC
17-9,PC
18-A,Green
18-1,Green
18-2,Green
18-3,Green
18-4,Green
18-5,Green
18-6,Green
18-7,Green
18-8,Green
18-9,Green
19-A,Green
19-1,PC
19-2,PC
19-3,Green
19-4,Green
19-5,Green
19-6,Green
19-7,Green
19-8,Green
19-9,Green
20-A,Green
20-1,Green
20-2,Green
20-3,Green
20-4,Green
20-5,Green
20-6,Green
20-7,Green
20-8,Green
20-9,Green
21-A,PC
21-1,PC
21-2,PC
21-3,PC
21-4,PC
21-5,PC
21-6,PC
21-7,PC
21-8,PC
21-9,Liberal
22-A,Liberal
22-1,Liberal
22-2,PC
22-3,Liberal
22-4,PC
22-5,Liberal
22-6,Liberal
22-7,Liberal
22-8,PC
22-9,Liberal
23-A,Green
23-1,PC
23-2,PC
23-3,Liberal
23-4,PC
23-5,Liberal
23-6,Liberal
23-7,PC
23-8,Liberal
23-9,Liberal
24-A,Green
24-1,Green
24-2,Green
24-3,Liberal
24-4,Green
24-5,Green
24-6,Green
24-7,PC
25-A,NDP
25-1,NDP
25-2,PC
25-3,NDP
25-4,PC
25-5,PC
25-6,Liberal
25-7,Liberal
25-8,Liberal
25-9,NDP
25-10,Liberal
26-A,Liberal
26-1,PC
26-2,PC
26-3,PC
26-4,PC
26-5,Liberal
26-6,Liberal
26-7,Liberal
26-8,Liberal
26-9,Liberal
27-A,PC
27-1,PC
27-2,Green
27-3,PC
27-4,PC
27-5,Green
27-6,PC
27-7,PC
27-8,PC
27-9,PC
