distpoll,winner
1-A,PC
1-1,PC
1-2,PC
1-3,PC
1-4,PC
1-5,PC
1-6,PC
1-7,Green
1-8,PC
1-9,Liberal
2-A,PC
2-1,PC
2-2,PC
2-3,PC
2-4,PC
2-5,PC
2-6,PC
2-7,Green
2-8,PC
2-9,Green
3-A,PC
3-1,Liberal
3-2,PC
3-3,PC
3-4,PC
3-5,Green
3-6,PC
3-7,PC
3-8,PC
4-A,PC
4-1,PC
4-2,PC
4-3,PC
4-4,PC
4-5,PC
4-6,PC
4-7,PC
4-8,PC
4-9,PC
5-A,PC
5-1,Green
5-2,Green
5-3,Green
5-4,Green
5-5,Green
5-6,Green
5-7,Green
6-A,PC
6-1,PC
6-2,PC
6-3,Green
6-4,PC
6-5,PC
6-6,PC
6-7,PC
6-8,PC
7-A,PC
7-1,PC
7-2,PC
7-3,PC
7-4,PC
7-5,PC
7-6,PC
7-7,Green
7-8,PC
7-9,PC
7-10,PC
8-A,Liberal
8-1,PC
8-2,PC
8-3,PC
8-4,PC
8-5,PC
8-6,PC
8-7,Liberal
8-8,Liberal
8-9,Liberal
10-A,Liberal
10-1,Liberal
10-2,Liberal
10-3,Liberal
10-4,Liberal
10-5,Green
10-6,Liberal
10-7,Green
10-8,Liberal
10-9,Green
11-A,Green
11-1,Green
11-2,Green
11-3,Green
11-4,Green
11-5,Green
11-6,Green
11-7,Green
11-8,Green
11-9,Green
12-A,Liberal
12-1,Green
12-2,Green
12-3,Green
12-4,Green
12-5,Green
12-6,Green
12-7,Green
12-8,Green
12-9,Green
13-A,Liberal
13-1,Green
13-2,Green
13-3,Green
13-4,Green
13-5,Green
13-6,Green
13-7,Green
13-8,Green
13-9,Liberal
14-A,Liberal
14-1,Green
14-2,Green
14-3,Liberal
14-4,Green
14-5,Liberal
14-6,Green
14-7,Green
14-8,Green
14-9,Green
15-A,PC
15-1,PC
15-2,PC
15-3,Green
15-4,PC
15-5,PC
15-6,Green
15-7,PC
15-8,PC
15-9,PC
16-A,Liberal
16-1,Liberal
16-2,Green
16-3,Liberal
16-4,Liberal
16-5,Liberal
16-6,Green
16-7,Liberal
16-8,Liberal
16-9,Liberal
17-A,Green
17-1,Green
17-2,Green
17-3,Green
17-4,Green
17-5,Green
17-6,Green
17-7,Green
17-8,Green
17-9,Green
18-A,PC
18-1,PC
18-2,PC
18-3,PC
18-4,PC
18-5,PC
18-6,PC
18-7,PC
18-8,PC
18-9,PC
19-A,PC
19-1,Green
19-2,Green
19-3,PC
19-4,PC
19-5,PC
19-6,PC
19-7,PC
19-8,PC
19-9,PC
20-A,PC
20-1,PC
20-2,PC
20-3,PC
20-4,PC
20-5,PC
20-6,PC
20-7,PC
20-8,PC
20-9,PC
21-A,Green
21-1,Green
21-2,Green
21-3,Green
21-4,Green
21-5,Green
21-6,Green
21-7,Green
21-8,Green
21-9,Green
22-A,Green
22-1,Green
22-2,Green
22-3,Green
22-4,Green
22-5,Green
22-6,Green
22-7,Green
22-8,Green
22-9,Green
23-A,PC
23-1,Green
23-2,Green
23-3,Green
23-4,Green
23-5,Green
23-6,Green
23-7,Green
23-8,PC
23-9,PC
24-A,Liberal
24-1,Liberal
24-2,Liberal
24-3,Green
24-4,Liberal
24-5,Liberal
24-6,Liberal
24-7,Liberal
25-A,Liberal
25-1,Liberal
25-2,Liberal
25-3,Liberal
25-4,Liberal
25-5,Liberal
25-6,NDP
25-7,NDP
25-8,NDP
25-9,Liberal
25-10,NDP
26-A,PC
26-1,Liberal
26-2,Liberal
26-3,Liberal
26-4,Liberal
26-5,PC
26-6,PC
26-7,PC
26-8,PC
26-9,PC
27-A,Liberal
27-1,Liberal
27-2,Liberal
27-3,Liberal
27-4,Liberal
27-5,Liberal
27-6,Liberal
27-7,Liberal
27-8,Liberal
27-9,Liberal
